id, user_id, room_id, date, comment, accuracy, communication, cleanliness, location, check_in, value, average
 1, 32, 34, Sun Nov 23 1941 18:48:37 GMT-0800 (PST), 'sed porta quis mauris viverra porta puru s Etiam sodales posuere feugia t erat. a tempor sodales orci enim tempor neque viverra nisi quam orci arc u tempor nibh e t elit. a luctus mauris Etiam adipiscing mauris adipiscing feugia t et nis l Nam mollis nis l ame t dictum. Vivamus Aliquam dolor vulputate purus quis dui at. ne c at convalli s consequat quis dui. faucibus nibh sollicitudin Aliquam ', 5, 4, 2, 5, 4, 0, 3
 2, 25, 19, Thu Oct 26 1978 01:17:18 GMT-0700 (PDT), 'Donec et ', 2, 4, 5, 1, 5, 1, 3
 3, 10, 42, Mon Jul 18 1859 09:21:16 GMT-0700 (PDT), 'nisi Mauris sed varius vehicul a Donec at semper nibh mauris vel justo. quis lacinia eli t sed quis porta gravida.ipsum porta ipsum vestibulum vitae. urna sed quis a consectetur vestibulum dui quis nec enim vehicul a lectus sed erat. dui ipsum justo. ', 3, 0, 2, 3, 3, 1, 2
 4, 11, 77, Sat Dec 09 1809 02:50:39 GMT-0800 (PST), 'porta nisi et varius enim arc u sed purus lacus. nibh erat. et dui at dolor m i justo. sodales augue. urna faucibus m i ne c a vestibulum convalli s arc u dolor urna vel vel dictum. puru s Mauris dui Nam nisi posuere urna convalli s a purus vulputate adipiscing vehicula lacus. vulputate mauris varius metus ne c neque fringilla molestie lacinia lacinia neque dui at nis l lacinia dui fringilla dui Vivamus Vivamus mauris Nulla ', 3, 3, 0, 3, 5, 1, 3
 5, 27, 100, Wed Feb 16 1881 11:46:47 GMT-0800 (PST), 'at. fringilla a lectus Quisque sed eget neque orci Quisque consequat dui. Mauris quis quis dui. varius e t mollis mauris Vivamus orci dolor ipsum sollicitudin sodales arcu dictum. vehicula nis l vehicul a quis at sed erat. eli t augue. Aliquam quis gravida.nec ', 5, 1, 4, 0, 4, 0, 2
 6, 18, 10, Tue Jun 27 1893 03:45:02 GMT-0700 (PDT), 'justo. eu convalli s quam Vestibulum et Quisque e t Mauris Donec ame t aliquet dui lacinia nec at. commodo feugia t sed sodales dolor Vestibulum sed ante tempor Vestibulum dolor at. luctus enim consequat eget dui at ame t viverra sodales Vestibulum a erat. Donec ', 1, 0, 1, 0, 0, 4, 1
 7, 29, 28, Sun Oct 21 1855 08:47:16 GMT-0700 (PDT), 'fringilla Vestibulum nec nisi erat. faucibus augue. nec ipsum Vestibulum urna sodales convalli s fringilla vitae. a quis neque erat. vulputate quis urna a nibh quis justo. sapien enim eget sit urna mollis Vestibulum sed a nec Ut porta semper ipsum feugiat consequat mollis vulputate nisi diam vestibulum lacus. Mauris et ', 0, 5, 4, 0, 1, 2, 2
 8, 35, 9, Fri Nov 22 1935 02:49:49 GMT-0800 (PST), 'sapien ', 5, 1, 5, 5, 3, 1, 3
 9, 19, 80, Mon Jul 15 1946 22:12:15 GMT-0700 (PDT), 'vulputate nec enim pretium. vitae. vel feugiat arcu elit. et molestie m i elit. feugia t enim vulputate eu convalli s urna vitae. Mauris at enim lacus. aliquet consequat consequat enim orci a Mauris enim et dui a sapien pretium. sed Etiam mauris vulputate erat. augue. erat. dictum. sodales urna dui sed a sapien a Nam eu a lectus m i dui lacus. nis l sed puru s ame t Vivamus a diam arcu et Vivamus aliquet dui at orci at. Nulla dui. convalli s enim lacinia sodales dictum. aliquet augue. eli t enim Vestibulum sed vel ', 0, 4, 4, 0, 2, 4, 2
 10, 14, 31, Wed May 01 1991 22:53:52 GMT-0700 (PDT), 'nis l commodo Quisque justo. dictum. Vestibulum quis dui. sodales quis purus nibh feugia t semper at vel quis eget et Aliquam Nulla sollicitudin ne c sit ', 0, 5, 2, 5, 2, 3, 3
 11, 39, 56, Sat Dec 16 1854 06:59:52 GMT-0800 (PST), 'metus Mauris ame t vehicula arcu dui consectetur fringilla ame t nibh Mauris vulputate dui. lacinia vel adipiscing posuere orci e t arc u consectetur luctus fringilla ne c a a feugia t sit dui. eli t commodo luctus arc u nibh vulputate quis aliquet a at sed Vivamus molestie augue. gravida.at Quisque metus posuere viverra nisi Aliquam nis l purus eli t quam nibh sapien at dictum. eget fringilla convalli s lacinia pretium. dui dui enim quis quis Vivamus Nulla porta vestibulum puru s fringilla orci lacus. ', 1, 1, 0, 5, 0, 1, 1
 12, 29, 6, Mon Jan 12 1846 14:13:31 GMT-0800 (PST), 'varius at metus et Vestibulum Aliquam dictum. elit. tempor Lorem Etiam ipsum vulputate nibh semper metus diam vulputate et lacinia gravida.orci consectetur quis et elit. arcu sed porta sed commodo nisi adipiscing ipsum eli t dui viverra vel Quisque sapien arcu erat. at viverra metus vel et adipiscing dui. vehicula nis l puru s vestibulum ', 3, 1, 5, 0, 3, 1, 2
